id,text
1,tset ho tsan se kai bing pang kah tiat lin khuan tsai kan la u put li e ing hiog
2,ing am gua tsiah ka li tean lo
3,ah beh sian po
4,sC sit giam po so
5,a sui kam mo a pai to li the i tshing ka
6,an ne lah
7,lin kiam bo kong iau u si gih jit tsiu siun kua e si kau mah gua ka lin kongng giah bak khuan hng i king sik thang kua la
8,a san a pah me kue ah
9,kiam pian tsiah kak khan khaunh ki
10,san sih siu o ho ki khi khu
11,ti hia khuan e lang ia si sam sam gon no tshin tshin tsng tso
12,khanh lai lai lai thain si tsia thain sio tsia
13,i tsing li tai gi su lui tsong si tse si tua kang tiong ma su iau siong se kui ue
14,li tsit e ho me meh
15,tui putin lai kong tse tai piau i kiong nge tui khong bi kok ka au tsiu tit tioh sing li
16,sing loh lai e si sim lai kam u bon tsiok e kam kak sing khu na kian liau siun ki
17,hong bun a
18,o to ba si tsian ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khiau o to ba 
19,kah hit tsam i tsit tsun ji tsi ke lua hing hok le
20,ling gua pun sit giam tshai iong kan hua e su lui kan ta hun tua lui tong su su hing iong su ting ti
21,lau hian ti a puan lo to puah loh khi ah lim thang tua se sian
22,m na si lan a hian ta tai gi lang thak lian the lai kai e pean tsia mah hue hue tsit tsiong iong ji huait siun kueh i uat sit tsai put kho tshu
23,hani gin a lang u hin bo tshui m ho o pe mn
24,i a si tong suan ma eh pi iau kiu sit hean sing lok tui king tshat kai kikg lai kong tse i king si tsit e sing li
25,lan hun san tsiong tsing hing lai tho lun
26,gi khi
27,hi sing kia tsut khi tan ke ting a
28,u i guan ah si kho ling ti li khong it liong ni tsham san tsong thong e kiong ho tong jin su
29,li kaom u ing thang ka gua tau siau kai tsit e lai khi siong su si e e a si to tsit sian
30,gua ho li long lue la
31,tian tian lok lo khi tshan te
32,u lang ti leh bo u lang ti e bo a
33,tak ke tsiah te gua lai san lau tshut king tua thian lan li ting ki tshiu sio than thi hing li thok un
34,kak ke long kau ah lan lai khi thing tshia tiun tsiun tshia
35,li tso ho e phi pt sing kiah tsit hun ho gua phin phang tsit e ho bo
36,o o a tsit e tua mng honh koh kah ting khah kuan le
37,tei tioh ka pn tsiah ho liau
38,tsing lang thian han tsing li an ne kong long kuan kin tan thau khuan suan tin tsit e khuan tak ke sim lai long am hon tsit sian gua kho a suan e tsian tshiu ping u ian kiam tsit puan khi ah
39,kau a ang ng kio
40,in ui bo tshu li ham ho sing e bun te so i e ing hiong tioh si giam kiat ko e phin tsi
41,tsit e ki hi lang e t tiS si iong tsictsNS ah si tha kho thon tshu tso
42,ai siong sin ka ti it ting phan e tioh lam ping iu
43,u ki hue e ti lak ue te i tsing tap sing hiak gi
44,gua kong bua e to bua e la
45,suan si pai pak hiah ni ho tsap li tshu tshu ki ai khah se li le
46,an ne tso kam o ke
47,tsan sing tsia o lo i kian bu sit lo suan m koh kiong ho tong ti kok hue ka te tse
48,si tsap si phin sin ho lam jin bo be tau sen un na tsi it ma mah e kam ton
49,kak hue a li u ian tsiok sui e lio bun long tsiok him sian tsiok ka e i l lio un tong san khui tshui ka o loh
50,gua tsit man kiam tit le a tsiun peh e tshu ui ng tsiah lai tse lah
51,tso i kua be ka li ke ka
52,kian bi kok irang kian ua sau u ti kho ka ti bi kok tsue kin ka i lan kai sehn kuan he i king in hi
53,ka gua tse long tse tsiah khui
54,suan tiong long tah bu pe bong bong sian mih long khuan bo
55,o tsiu kok hue bat ti ji khong it ji ni kiau kuat tong sing khun hap huat hua e gi te tsain jing phai suh ka thung kho
56,gua e sim
57,tshin tshiun tin kue pat po png tihng mi tsue tsiah mi long a iong tsut bi lai tso
58,heh heh
59,heh tean tong tshia honh tsau be tin tang in kah si bo tian na ai kah bat tih li theh tshut lai tshiong tean tsit e
60,hit tui ang a bo o e si tsing phai pu lu su thau ka tsian ho khuan
61,sap bak a ti tsa tsing si sian mih khuan lang lih tsiah 
62,tsian ping khui mng lo tshia tsin tsing tshian tsu i tshiai sian kah kue tai tiong e phang m thang lak lue phang li
63,li sing kian tshut khi tan khia ting a
64,han kai tshu huan e tsuan ki tha hong te tsong pho sa pun guan king
65,tsit ma a si kang khuan ma
66,ki tshi tshit tshng tshong tet hau li kam long bo thian e
67,huan ko gua kue ah thau ke niu si tai pauk ai e i tso lang tsin ho
68,pioh a tha e u kho ling tsiah bean tsin lah
69,a tsi lang khih khi khi khi
70,lai tshiun kua
71,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
72,lai kai jip tso tsi ah si tse tshai po hin
73,tso tsit kua sin the bo tian e kah i e tai tsi pho pho than than tsiong i tsing gik khai sin the gia
74,i tsiong lau ka lang kau pue
75,ho i au na si hut sio tshiau kun ng kan tih ai sui lei kiam tsao
76,e tse a u lang khah tin ue lai kok sian mih tsit ko gue ti tiam lai lu tse siB lu tshiau kue tsit tshing kho to sang ho khan
77,ho lin pi beh kak ui ui ki lai
78,iah gam tsioh iu huat tean kin o pi te ui put po
79,gun ping iu lia mih to beh lai ah tsiah ma huan li the gua io bi tsit kua mi kian tshian lang tsia
80,Bio it ka emi kah si R thau tsing sSan tsap tsit pah go pa tsit tshing san tshing go tshing e kiong tong su tso e so liong li tshut ai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tso ti emi kah siR ng e thong ke pio long u tsut hia
81,henh siu lang beh sue sim
82,thau lo si ten hn e kak khau
83,kian
84,ping siong si khang khoe tso ka puan me tsiah png kuan sin na pue tiean n
85,toe tsit khuan se thau tsui siong thianjiean lai bean ng kuan tng khi tshi khuan mai
86,hun be put tshin gun tsa bo kian na u ban it khuan lih be og sian mih lai pue gua
87,li kian lo nai e kua kuai kam si khi uai ti
88,oa a sang li ho li beh ai e mih kian ti tsia
89,hin tshiun han lo po hun ea ong lai am kue tsu pun ing kai si tsit e su
90,a an ti at huat ke kai kheam
91,lan kin lai tsiah png la
92,li iong i e kua sian kah hia na bi miau e suan lut ka ping an hanm hing hok thuant tsuakh tshut khi
93,iau m koh tai uan tean ian si gua e sen mia bo lun an tsuan gu ing uan long be hong khi
94,siong ue hi phin sua hi e thau tsing tsit pun si ji khong khong pan ni sia e tu tu si to tng tshut pain hit tsit tan
95,li tsa khi si a pin ka khi lai khi hue
96,he i tsin kuai leh tue lang tsau ah
97,na tshuan khui e hiaun tong lehan si hi ku
98,su la e khang khue tap tap ti ti tak hang long a gua tso na tso e liah
